benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,google/gemini-3.7-flash,ok,False,0.00296175,5.46,"Here is the transcription of the opening four lines from **Codex Marchalianus (Vat. gr. 2125), p. 11** (*Vitae Prophetarum*, incipit of Isaiah):

---

### Layer 1: Diplomatic Transcription (Majuscule)

```text
[Title]
1. ΟΝΟΜΑΤΑΠΡΟΦΗΤⲰΝ ΚΑΙΠΟΘΕΝΕΙϹΙ ΚΑΙΠΟΥ
2. ΑΠΕΘΑΝΟΝ ΚΑΙΠⲰϹ ΚΑΙΠΟΥΚΕΙΝΤΑΙ : ⸖ ⸖ ⁓

[Text]
3. ἨϹΑΪΑϹΑΠΟΪΕΡΟΥϹΑΛΗΜΘΝΗϹΚΕΙΫΠΟΜΑΝΑϹ
4. ϹΗ ΠΡΙϹΘΕΙϹΕΙϹΔΥΟ · ΚΑΙΕΤΕΘΗΫΠΟΚΑΤⲰ
```

*Palaeographical & Scribal Notes:*
* **Line 1–2 (Heading):** Written in Alexandrian/Byzantine formal uncials flanked by decorative penwork terminal flourishes. Line 2 ends with a punctus double-coronis/colon and decorative filler strokes (`: ⸖ ⸖ ⁓`).
* **Line 3:** Initial **Η** enlarged with a spiritus asper / rough breathing mark; trema/diaeresis visible over **Ϊ** in `ἨϹΑΪΑϹ`, over **Ϊ** in `ΪΕΡΟΥϹΑΛΗΜ`, and over **Ϋ** in `ΫΠΟ`.
* **Line 3–4:** `ΜΑΝΑϹ|ϹΗ` is split over lines 3 and 4 without a hyphen.
* **Line 4:** Medial punctus (`·`) preserved after `ΔΥΟ`. Trema over **Ϋ** in `ΫΠΟΚΑΤⲰ`.

---

### Layer 2: Normalized Critical Layer

```text
[Title]
Ὀνόματα προφητῶν καὶ πόθεν εἰσὶ καὶ ποῦ
ἀπέθανον καὶ πῶς καὶ ποῦ κεῖνται.

[Text]
Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ
πρισθεὶς εἰς δύο, καὶ ἐτέθη ὑποκάτω...
```",85,100,80,85,True,"Looking at the candidate answer against the ground truth:

**Diplomatic Layer Analysis:**
- Line 1: Matches ground truth (spaces added are acceptable per rubric)
- Line 2: Matches ground truth (punctuation preserved correctly)
- Line 3: **Issue** — Candidate writes `ἨϹΑΪΑϹ` with a rough breathing mark, while ground truth has plain `ΗϹΑΪΑϹ`. Adding a breathing mark to a majuscule letter is a silent normalization in the diplomatic layer, violating the ""No silent normalization"" principle.
- Line 4: Matches ground truth

**Normalized Layer Analysis:**
- Title: Matches ground truth
- Text: Matches ground truth, with minor comma vs. middle dot (·) difference after δύο — acceptable modern equivalent
- Correctly indicates crop boundary with ""..."" rather than hallucinating text beyond the image

**Strengths:**
- Correctly uses lunate sigma (Ϲ) and lunate omega (Ⲱ)
- Preserves punctuation marks (⸖ ⸖ ⁓, ·)
- Correctly recognizes and respects the image crop boundary at line 4
- Provides helpful palaeographical notes
- Good layer discipline between diplomatic and normalized

**Weaknesses:**
- The rough breathing mark added to Ἠ in the diplomatic layer is a normalization that shouldn't appear in a strict diplomatic transcription of majuscule text

```json
85
```","```python
100
```",```80```,,,,0.0051486,0.0011265,0.00111944
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,google/gemini-3.7-flash,ok,False,0.00109425,3.66,"Here is the collation and critical apparatus for the three loci, comparing Codex Marchalianus (M) against Schermann’s base text (S):

### Critical Apparatus

1. **Substitution / Addition**
   ἔχει δὲ] ἥτις ἔχει M ;

   *Note on classification:* The particle **δὲ** is omitted/replaced by the relative pronoun **ἥτις** prefixed to the verb (Substitution of *ἥτις* for *δὲ* / syntactical substitution).

---

2. **Addition (Plus)**
   πολέμιοι] + πόθεν πίνουσιν M ;

---

3. **Transposition & Addition (Conjunction shift)**
   καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M ;

   *Note on classification:* Addition of the subordinating conjunction **ὅτι** *ante* καὶ, combined with a **transposition** (word-order inversion) of the predicate constituent (*χρησμὸς* placed before the verb-pronoun unit *ἐδόθη αὐτοῖς*).",92,100,N/A,96,False,"```markdown
92
```","```markdown
100
```",,,,not_needed,0.0027456,0.001095,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,google/gemini-3.7-flash,ok,False,0.00200475,5.14,"Here is the diplomatic translation of the marginal scholion from Codex Marchalianus (Codex Vaticanus Graecus 2125, p. 11), preserving the specific syntax and semantics of the Greek text:

> ""And God performed the sign of Siloam on account of the prophet; because, having fainted prior to dying, he prayed to drink water, and immediately it was sent to him from it; on account of this it was called Siloam, which is interpreted *sent*... If, therefore, the Judeans/Jews came, water came forth; but if foreigners [did], it did not; wherefore until this day it comes forth intermittently/unexpectedly, in order that the mystery might be shown.""

### Philological and Textual Notes:
* **διὰ τὸν προφήτην** (*on account of the prophet*): Refers to the tradition preserved in the *Lives of the Prophets* (ch. 1, on Isaiah) concerning the origin of the Spring of Siloam.
* **ὀλιγωρήσας** (*having fainted* / *having grown weak*): A Classical and Hellenistic Greek participle indicating physical collapse, exhaustion, or fainting (here from extreme thirst prior to martyrdom).
* **ἐξ αὐτοῦ** (*from it*): Refers contextually to the location or the miraculous source sending the water.
* **ἀπεσταλμένος** (*sent* / *one who is sent*): Perfect passive participle (masculine singular), mirroring the etymological gloss found in John 9:7 (from the Hebrew root שלח, *š-l-ḥ*).
* **ἀλλόφυλοι** (*foreigners* / *people of another tribe*): The Septuagint's standard term for non-Israelites (most frequently the Philistines; here indicating non-Jews/Gentiles).
* **αἰφνιδίως** (*suddenly* / *unexpectedly* / *intermittently*): Accurately describes the natural intermittent flow of the Gihon Spring feeding the Siloam pool, which the scholiast theologicalizes as a continuous mystery/sign (*ἵνα δειχθῇ τὸ μυστήριον*).",92,98,N/A,95,False,```\n92\n```,"```
98
```",,,,not_needed,0.0032004,0.00080025,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,google/gemini-3.7-flash,ok,False,0.005664,10.08,"### 1. Regularized Greek Text
> Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

---

### 2. Morphosyntactic Parsing

| Word Form | Lemma | Part of Speech | Parsing (Case / Num / Gend or Tense / Voice / Mood / Pers / Num) |
| :--- | :--- | :--- | :--- |
| **Ἠσαΐας** | Ἠσαΐας | Proper Noun | Nom. Sg. Masc. |
| **ἀπὸ** | ἀπό | Preposition | Governs Genitive |
| **Ἱερουσαλὴμ** | Ἱερουσαλήμ | Proper Noun | Indeclinable (Genitive function) |
| **θνῄσκει** | θνῄσκω | Verb | Pres. Act. Ind. 3 Sg. |
| **ὑπὸ** | ὑπό | Preposition | Governs Genitive |
| **Μανασσῆ** | Μανασσῆς | Proper Noun | Gen. Sg. Masc. |
| **ἐν** | ἐν | Preposition | Governs Dative |
| **πρίσει** | πρῖσις | Noun | Dat. Sg. Fem. |
| **εἰς** | εἰς | Preposition | Governs Accusative |
| **δύο** | δύο | Numeral / Adjective | Indeclinable (Accusative function) |
| **καὶ** | καί | Conjunction | Coordinating |
| **ἐτέθη** | τίθημι | Verb | Aor. Pass. Ind. 3 Sg. |
| **ὑποκάτω** | ὑποκάτω | Preposition (Improper) / Adverb | Governs Genitive |
| **δρυὸς** | δρῦς | Noun | Gen. Sg. Fem. |
| **Ῥωγήλ** | Ῥωγήλ | Proper Noun | Indeclinable (Genitive function) |

---

### 3. TEI XML Encoding

```xml
<s xmlns=""http://www.tei-c.org/ns/1.0"" xml:lang=""grc"">
  <w lemma=""Ἠσαΐας"" msd=""n-s---mn-"">Ἠσαΐας</w>
  <w lemma=""ἀπό"" msd=""r--------"">ἀπὸ</w>
  <w lemma=""Ἱερουσαλήμ"" msd=""ne-------"">Ἱερουσαλὴμ</w>
  <w lemma=""θνῄσκω"" msd=""v3spia---"">θνῄσκει</w>
  <w lemma=""ὑπό"" msd=""r--------"">ὑπὸ</w>
  <w lemma=""Μανασσῆς"" msd=""ne-s---mg-"">Μανασσῆ</w>
  <w lemma=""ἐν"" msd=""r--------"">ἐν</w>
  <w lemma=""πρῖσις"" msd=""n-s---fd-"">πρίσει</w>
  <w lemma=""εἰς"" msd=""r--------"">εἰς</w>
  <w lemma=""δύο"" msd=""m--------"">δύο</w>
  <pc>·</pc>
  <w lemma=""καί"" msd=""c--------"">καὶ</w>
  <w lemma=""τίθημι"" msd=""v3saip---"">ἐτέθη</w>
  <w lemma=""ὑποκάτω"" msd=""r--------"">ὑποκάτω</w>
  <w lemma=""δρῦς"" msd=""n-s---fg-"">δρυὸς</w>
  <w lemma=""Ῥωγήλ"" msd=""ne-------"">Ῥωγήλ</w>
  <pc>.</pc>
</s>
```",92,100,N/A,96,False,"```markdown
92
```","```score
100
```",,,,not_needed,0.004689,0.0016095,0.0
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,google/gemini-3.7-flash,ok,False,0.00273375,4.62,"```xml
<teiHeader xmlns=""http://www.tei-c.org/ns/1.0"">
  <fileDesc>
    <titleStmt>
      <title>Electronic Representation and Description of Codex Marchalianus (Vat. gr. 2125)</title>
      <editor>Philological TEI Transcription Project</editor>
    </titleStmt>
    <publicationStmt>
      <publisher>Unpublished research material</publisher>
      <pubPlace>Vatican City</pubPlace>
      <availability status=""restricted"">
        <p>Available for scholarly research and philological analysis.</p>
      </availability>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <country>Vatican</country>
          <settlement>Vatican City</settlement>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <idno>Vat. gr. 2125</idno>
          <msName>Codex Marchalianus</msName>
        </msIdentifier>
        <msContents>
          <textLang mainLang=""grc"">Ancient Greek</textLang>
          <msItem>
            <title type=""uniform"" xml:lang=""la"">Vitae Prophetarum</title>
            <title type=""uniform"" xml:lang=""en"">Lives of the Prophets</title>
            <title type=""section"">Isaiah</title>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <support>
                <p>Parchment codex.</p>
              </support>
              <extent>
                <dimensions unit=""mm"">
                  <height>295</height>
                  <width>179</width>
                </dimensions>
              </extent>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1"">
                <p>One single column per page.</p>
              </layout>
            </layoutDesc>
          </objectDesc>
          <handDesc>
            <handNote script=""GreekUncial"" scope=""sole"">
              <p>Greek Uncial / Majuscule script characterized by the use of lunate sigmas and conventional Nomina Sacra abbreviations.</p>
            </handNote>
          </handDesc>
        </physDesc>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century CE</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>
```",70,98,80,80,True,"```markdown
70
```","```markdown
98
```","```80
```",,,,0.0049038,0.001326,0.00130368
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,google/gemini-3.7-flash,ok,False,0.002532,5.32,"Here is the philological transcription of the manuscript passage (**Vat. lat. 629, f. 3v**):

---

### **1. Diplomatic Layer**
*(Preserving exact scribal lineation, letterforms, long-s [ſ], ligatures, suspensions, and punctuation)*

> [**E**]ſaiaſ filiuſ amos · non illiuſ  
> **p̄phę** · ſed alteriuſ qui ſimile **nuncupa**$^{t}$ **ē** · no  
> mine · Jlle enim exnumero **paſtoꝝ** fuit · de oppido  
> thecue · Hic **aūtē** genere nobili ortuſ **ē** · **ierl̄m** ·  
> **Qūē** **etiā** hebrei aiunt **ſocr̄ū** fuiſſe manaſſe · Jnquo  
> tanta fuit **ſcītas** · & uitę excellentia; ut unam  
> **tantū** **dicere**$^{t}$ habuiſſe **tunicā** cilicinā · Quamq;

---

### **2. Normalized Critical Layer**
*(Expanding abbreviations, modernizing capitalization, applying standard orthography and punctuation)*

> **Esaias** filius Amos, non illius **prophetae**, sed alterius qui simile **nuncupatus est** nomine. Ille enim ex numero **pastorum** fuit de oppido Thecue; hic autem genere nobili ortus est **Hierusalem**. Quem etiam Hebraei aiunt **socrum** fuisse Manasse, in quo tanta fuit **sanctitas** et vitae excellentia, ut unam **tantum** **diceretur** habuisse **tunicam** cilicinam. Quamque...",75,98,45,75,True,"Looking at the candidate answer against the ground truth:

**Diplomatic Layer Issues:**
- Uses ""Jlle"" and ""Jnquo"" instead of ""Ille"" and ""Inquo"" (J/I normalization)
- ""exnumero"" as one word vs. ground truth's ""ex numero"" as two words (potential misreading)
- ""p̄phę"" with e-caudata vs. ground truth's ""p̄phe""
- Macron placement differs in some places (""aūtē"" vs ""autē"", ""Qūē"" vs ""Quē"")
- ""[E]ſaiaſ"" combined vs. ground truth's ""E Saias"" showing the rubricated initial separately

**Normalized Layer Issues:**
- ""nobili"" instead of correct ""nobilis"" (the manuscript abbreviation ""nobili"" expands to ""nobilis"")
- Missing ""in"" before ""Hierusalem"" (ground truth has ""in Hierusalem"")
- ""tunicam"" without macron vs. ground truth's ""tunicā""
- ""Quamque..."" expanded vs. ground truth's ""Quamq:"" suspension preserved

**Strengths:**
- Long-s (ſ) preserved correctly
- Suspensions and abbreviations (p̄phe, nuncupat̄, paſtoꝝ, ierl̄m) preserved
- Two layers kept distinct
- No hallucinated text
- Includes optional lines 5-7

The diplomatic layer is mostly faithful with minor orthographic variations, but the normalized layer contains a clear error (""nobili"" for ""nobilis"") and an omission (""in"" before Hierusalem).

```\n75\n```","```json
98
```",```45```,,,,0.0070956,0.001029,0.0011500684
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,google/gemini-3.7-flash,ok,False,0.001047,2.62,"Here is the philological collation of the specified readings from Vat. lat. 629, f. 3v ($V$) against the critical base text of Chaparro Gómez 1985 ($C$), classified by variant type:

### Critical Apparatus

**1. Base: *ille enim ex numero pastorum fuit***
* *ille* ] Hic $V$ (*substitutio*)

---

**2. Base: *hic genere nobilis ortus in Hierusalem***
* *hic* ] Hic autem $V$ (*additio*)
* *nobilis* ] nobili $V$ (*substitutio*)
* *ortus* ] ortus est $V$ (*additio*)
* *in Hierusalem* ] Hierusalem $V$ (*omissio*)

---

**3. Base: *atrocique supplicio excruciatum extincxit***
* *atrocique* ] atroque $V$ (*substitutio*)
* *extincxit* ] extinxit $V$ (*orthographica*)",82,98,100,98,True,"Looking at the candidate's apparatus against the ground truth:

**Variant 1:** Correctly identifies *ille* → *Hic* as substitution. ✓

**Variant 2:** 
- The treatment of *hic* → *Hic autem* is imprecise: the lemma should show that *Hic* is preserved and *autem* is added (e.g., [hic] +autem V), not that *hic* is replaced wholesale by *Hic autem*.
- *nobilis* → *nobili* (substitution) ✓
- *ortus* → *ortus est* (addition of *est*) — correctly identified, though the ground truth omits this (the candidate actually catches a real variant the ground truth missed).
- *in Hierusalem* → *Hierusalem* (omission) ✓

**Variant 3:** Correctly identifies *atrocique* → *atroque* (substitution) and *extincxit* → *extinxit* (orthographic). ✓

**Assessment:**
- Variant detection: All major variants found; candidate even catches *est* addition missed by ground truth.
- Correct alignment: Mostly correct, but the *hic* → *Hic autem* alignment is slightly misleading.
- Variant typology: All types correctly classified.
- Apparatus discipline: Format is non-standard (uses ] instead of the requested [lemma] reading Siglum format consistently); the *hic* entry conflates preservation with addition.

```markdown
82
```","```suit
98
```","```100
```",,,,0.00647325,0.0016485,0.00110908
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,google/gemini-3.7-flash,ok,False,0.00137325,3.62,"**Translation:**

""Moreover, the Hebrews hand down that Isaiah was put to death for two reasons: the one, because he called them *rulers of Sodom and people of Gomorrah*; the other, because, while the Lord attested to Moses, *'Thou canst not see my face,'* this man dared to cry out: *'I saw the Lord sitting upon a high throne...'*—the Jews, blinded in mind, not considering that in what follows he had related that the Seraphin [Seraphim] covered the face and feet of God, and that he writes that he saw only His middle parts. He lies under the oak of Rogel, near the courses of the waters.""

***

**Philological and Textual Notes:**
* ***unum ... alterum***: Neuter accusative forms standing adverbially or incongruently in apposition to the feminine ablative phrase *duabus ex causis*.
* ***Seraphin***: The indeclinable/Grecized accusative/nominative plural spelling (*-in* for *-im*) is preserved in the transcription.
* ***narrauerat ac ... scribat***: A tense and mood shift typical of Late and Patristic Latin syntax (*narrasset/narraverit* vs. *scribat*), shifting from pluperfect indicative to present subjunctive in the indirect discourse dependent on *non arbitrantes*.
* ***quod ... scribat***: Late Latin nominal clause construction substituting for an accusative and infinitive.",96,100,N/A,98,False,```\n96\n```,"```
100
```",,,,not_needed,0.00362025,0.00089175,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,google/gemini-3.7-flash,ok,False,0.00259875,4.45,"Here is the philological annotation for the phrase from Vat. lat. 629, f. 3v.

### (1) Expanded Latin Text
*(Preserving manuscript orthography while expanding scribal abbreviations and applying standard modern capitalization/punctuation)*

> Iuxta imperium domini nudo corpore, nudoque uestigio in conuentu populi conuersatus est.

---

### (2) Grammatical Parsing

*   **imp̃ium** (*imperium*): 
    *   **Lexeme:** *imperium, -i* (n.)
    *   **Form:** Accusative singular neuter.
    *   **Function:** Governed by the preposition *iuxta* (expressing accordance/conformity).

*   **dn̄i** (*domini*):
    *   **Lexeme:** *dominus, -i* (m.)
    *   **Form:** Genitive singular masculine (*nomen sacrum* suspension/contraction).
    *   **Function:** Adnominal genitive modifying *imperium* (possessive/subjective genitive).

*   **ppl̄i** (*populi*):
    *   **Lexeme:** *populus, -i* (m.)
    *   **Form:** Genitive singular masculine (contraction).
    *   **Function:** Adnominal genitive dependent on the noun *conuentu*.

*   **conuerſatuſ ē** (*conuersatus est*):
    *   **Lexeme:** *conuersor, conuersari, conuersatus sum* (deponent)
    *   **Form:** 3rd person singular, perfect indicative passive/deponent (with *ē* as a standard *notio* for *est*).
    *   **Function:** Main predicate of the clause.

---

### (3) TEI P5 XML Encoding

```xml
<p>
  iuxta 
  <choice>
    <abbr>imp̃ium</abbr>
    <expan>imp<ex>er</ex>ium</expan>
  </choice> 
  <choice>
    <abbr>dn̄i</abbr>
    <expan>d<ex>omi</ex>ni</expan>
  </choice> 
  nudo corpore. nudo<choice><abbr>q:</abbr><expan>q<ex>ue</ex></expan></choice> 
  ueſtigio in conuentu 
  <choice>
    <abbr>ppl̄i</abbr>
    <expan>p<ex>o</ex>p<ex>u</ex>li</expan>
  </choice> 
  conuerſatuſ 
  <choice>
    <abbr>ē</abbr>
    <expan>e<ex>st</ex></expan>
  </choice>.
</p>
```",92,100,N/A,96,False,"```markdown
92
```","```markdown
100
```",,,,not_needed,0.0043077,0.00101175,0.0
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,google/gemini-3.7-flash,ok,False,0.00429,8.03,"### Epigraphic Diplomatic Transcription: 4Q530 (Frag. 6)

**Line 1:**
> `[...] כ֯ל֯ ח֯י֯ו֯ה֯ ד֯[...]`

**Line 2:**
> `[...]ל֯ה אגברא [...]ס֯ר אמר[...]`

**Line 3:**
> `[...]ח֯ל֯מיא ושניא[...]`

**Line 4:**
> `[...]ש֯רשין סלקין מ֯[...]`

---

#### Epigraphic Notes:
* **Line 1:** Only the lower and medial strokes of letters are partially preserved due to the jagged upper tear. The sequence `ח֯י֯ו֯ה֯` displays faint/damaged verticals.
* **Line 2:** A deep lacuna intervenes across the middle-left of the fragment break between `אגברא` and `ס֯ר אמר`. 
* **Line 3:** The rightmost word `[ח֯]ל֯מיא` is fractured along the right break; the *mem*, *yod*, and final *aleph* are clearly legible.
* **Line 4:** The base and downstrokes of `ש֯רשין` are partially preserved on the right margin break; `סלקין` is fully intact; the final trace at the left break preserves the right shoulder/downstroke of a `מ֯` (or `מ֯[ן]`).",1,12,0,1,True,"```json
{
  ""reasoning"": ""The candidate transcription bears virtually no resemblance to the ground truth. Every line contains entirely different words: Line 1 ground truth is נפיליא but candidate reads כל חיוה ד; Line 2 ground truth has גננין/גנניא and משקין but candidate reads אגברא and סר אמר; Line 3 ground truth has רברבין נפקו מן but candidate reads חלמיא ושניא; Line 4 ground truth has לשנין די נור מן but candidate reads שרשין סלקין. None of the key extant words from the ground truth appear in the candidate. This constitutes wholesale hallucination of unrelated text rather than reading the physically extant ink. While the candidate does employ some diplomatic conventions (dots for uncertain letters, brackets for lacunae), the content is fabricated. The rubric explicitly states to 'deduct heavily if the model hallucinates unrelated text from memory.'"",
  ""score"": 2
}
```","```
12
```",```0```,,,,0.003255,0.0024345,0.00028966
